county,population,zip_codes
Greenville,588461,"['29356', '29601', '29605', '29607', '29609', '29611', '29613', '29614', '29615', '29617', '29635', '29644', '29650', '29651', '29661', '29662', '29669', '29673', '29680', '29681', '29683', '29687', '29690']"
Charleston,432173,"['29401', '29403', '29404', '29405', '29406', '29407', '29409', '29412', '29414', '29418', '29424', '29425', '29426', '29429', '29438', '29439', '29449', '29451', '29455', '29456', '29458', '29464', '29466', '29470', '29482', '29487']"
Richland,402122,"['29016', '29044', '29052', '29061', '29063', '29177', '29201', '29203', '29204', '29205', '29206', '29207', '29208', '29209', '29210', '29223', '29225', '29229']"
Horry,369075,"['29511', '29526', '29527', '29544', '29545', '29566', '29568', '29569', '29572', '29575', '29576', '29577', '29579', '29581', '29582', '29588']"
Spartanburg,299181,"['29301', '29302', '29303', '29306', '29307', '29316', '29320', '29322', '29323', '29324', '29329', '29331', '29333', '29334', '29335', '29338', '29346', '29349', '29365', '29368', '29369', '29373', '29374', '29375', '29376', '29377', '29378', '29385', '29388']"
Lexington,296776,"['29033', '29036', '29053', '29054', '29070', '29072', '29073', '29123', '29160', '29169', '29170', '29172', '29212']"
York,283590,"['29704', '29708', '29710', '29715', '29717', '29726', '29730', '29732', '29733', '29742', '29743', '29745']"
Berkeley,211455,"['29410', '29431', '29434', '29436', '29445', '29450', '29453', '29461', '29468', '29469', '29479', '29486', '29492']"
Anderson,194635,"['29621', '29624', '29625', '29626', '29627', '29642', '29654', '29670', '29684', '29689', '29697']"
Beaufort,190831,"['29902', '29904', '29905', '29906', '29907', '29909', '29910', '29915', '29920', '29926', '29928', '29935', '29940', '29941']"
Dorchester,161866,"['29420', '29437', '29448', '29471', '29472', '29477', '29483', '29485']"
Aiken,159654,"['29105', '29129', '29137', '29164', '29801', '29803', '29805', '29809', '29816', '29828', '29829', '29831', '29834', '29841', '29842', '29851', '29856']"
Florence,145095,"['29114', '29161', '29501', '29505', '29506', '29530', '29541', '29555', '29560', '29583', '29591']"
Pickens,112213,"['29630', '29631', '29634', '29640', '29657', '29667', '29671', '29682', '29685']"
Sumter,104792,"['29040', '29062', '29125', '29128', '29150', '29152', '29153', '29154', '29168']"
Lancaster,100526,"['29058', '29067', '29707', '29720']"
Orangeburg,85714,"['29018', '29038', '29039', '29047', '29048', '29059', '29107', '29112', '29113', '29115', '29117', '29118', '29133', '29142', '29146', '29163', '29432']"
Oconee,78807,"['29643', '29658', '29664', '29665', '29672', '29676', '29678', '29686', '29691', '29693', '29696']"
Kershaw,75485,"['29009', '29020', '29032', '29045', '29074', '29078', '29175']"
Greenwood,66233,"['29646', '29649', '29653', '29666', '29819']"
Cherokee,62285,"['29330', '29340', '29341', '29372', '29702']"
Darlington,60659,"['29069', '29079', '29532', '29540', '29550', '29593']"
Laurens,59962,"['29325', '29332', '29351', '29360', '29370', '29384', '29645', '29692']"
Georgetown,51500,"['29440', '29554', '29585']"
Chesterfield,40676,"['29101', '29520', '29584', '29709', '29718', '29727', '29728', '29741']"
Newberry,40653,"['29037', '29075', '29108', '29122', '29126', '29127', '29145', '29178', '29355']"
Colleton,39522,"['29082', '29435', '29446', '29452', '29474', '29475', '29481', '29488', '29493', '29929', '29945']"
Edgefield,37093,"['29821', '29824', '29832', '29838', '29847', '29860']"
Chester,32779,"['29031', '29055', '29706', '29712', '29714', '29724', '29729']"
Williamsburg,31141,"['29056', '29510', '29518', '29556', '29564', '29580', '29590']"
Clarendon,29478,"['29001', '29051', '29102', '29111', '29148', '29162']"
Abbeville,28328,"['29620', '29628', '29638', '29639', '29655', '29659']"
Dillon,27878,"['29536', '29543', '29547', '29563', '29565', '29567']"
Marion,27601,"['29519', '29546', '29571', '29574', '29589', '29592']"
Marlboro,26564,"['29512', '29516', '29525', '29570', '29594', '29596']"
Union,24668,"['29321', '29353', '29364', '29379']"
Jasper,24392,"['29912', '29927', '29934', '29936', '29943']"
Barnwell,21589,"['29812', '29817', '29826', '29853']"
Fairfield,21486,"['29014', '29015', '29065', '29130', '29180']"
Saluda,19849,"['29006', '29138', '29166']"
Hampton,18961,"['29911', '29916', '29918', '29921', '29922', '29923', '29924', '29939', '29944']"
Lee,16424,"['29010', '29046', '29080', '29104']"
Bamberg,12695,"['29003', '29042', '29081', '29843']"
Calhoun,10033,"['29030', '29135']"
McCormick,9494,"['29835', '29840', '29844', '29845', '29848', '29899']"
Allendale,8356,"['29810', '29827', '29836', '29849', '29932']"
